name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
Juliet,https://static.wikia.nocookie.net/kpop/images/e/e8/Juliet_Sorry_promotional_photo.png/revision/latest?cb=20200726163304,줄리엣,,,South Korea,"Rock, techno, dance",c. 1997,c. 2000,1997–2000,Wonder Music,,[],"['Kim Jooil', 'Kim Namsang', 'Park Hyunjin', 'Kim Minkyoung']",[],[],,,,,Juliet (group),https://kpop.fandom.com/wiki/Juliet_(group),group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
JXENM girl group,https://static.wikia.nocookie.net/kpop/images/e/eb/JXENM_predebut_girl_group_photo_February_2023.png/revision/latest/scale-to-width-down/350?cb=20230402192850,,,,,,,,2021–present,JXENM,,"['Seran', 'Yunchae']",[],[],"['https://www.instagram.com/jxenm.official/', 'https://www.tiktok.com/@jxenm.official', 'https://twitter.com/jxenm_official', 'https://www.youtube.com/channel/UCbWOVdja8y9RVD1MFYtgAAA']",,,,JX: The Shining Stars,JXENM girl group,https://kpop.fandom.com/wiki/JXENM_girl_group,group,female,"{'subscribers': 424000, 'top_videos': []}",424000.0,[],"['https://www.instagram.com/jxenm.official/', 'https://www.tiktok.com/@jxenm.official', 'https://twitter.com/jxenm_official', 'https://www.youtube.com/channel/UCbWOVdja8y9RVD1MFYtgAAA']",https://www.youtube.com/channel/UCbWOVdja8y9RVD1MFYtgAAA
JYP new girl group,,,,,"Seoul, South Korea",,2025,,2024–present,JYP Entertainment,,[],[],[],[],,,,,JYP new girl group,https://kpop.fandom.com/wiki/JYP_new_girl_group,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
K-Girls,https://static.wikia.nocookie.net/kpop/images/2/2b/K-Girls_Queen_promo_photo_1.png/revision/latest/scale-to-width-down/350?cb=20210408173718,케이걸즈,,,South Korea,"Dance, pop","November 18, 2013",c. 2015,2013–2015,Beauty Hankook Corporation,Miss Korea,[],"['Minhee', 'Seeun', 'Jian', 'Chloe', 'B.NA', 'A-Ra', 'SeHee', 'Hannah', 'HyoIn']",[],"['http://cafe.daum.net/k-girls', 'https://www.facebook.com/kgirlsofficial', 'https://twitter.com/group_k_girls', 'https://www.youtube.com/channel/UCIN8ZBYUP1zl7Yz-9EnUcIg']",,,,,K-Girls,https://kpop.fandom.com/wiki/K-Girls,group,female,"{'subscribers': 1740, 'top_videos': []}",1740.0,[],"['http://cafe.daum.net/k-girls', 'https://www.facebook.com/kgirlsofficial', 'https://twitter.com/group_k_girls', 'https://www.youtube.com/channel/UCIN8ZBYUP1zl7Yz-9EnUcIg']",https://www.youtube.com/channel/UCIN8ZBYUP1zl7Yz-9EnUcIg
KAACHI,https://static.wikia.nocookie.net/kpop/images/a/a0/KAACHI_Get_Up_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20211030005150,가치,,,"London, United Kingdom",Dance,"April 15, 2020 (UK) April 29, 2020 (Korea)","February 28, 2023",2020–2023,FrontRow Records,,[],"['Nicole', 'Dani', 'Coco', 'Chunseo']",[],"['https://www.facebook.com/kaachiofficial', 'https://www.instagram.com/Kaachi_official/', 'https://www.tiktok.com/@kaachi_official', 'https://twitter.com/kaachiofficial', 'https://www.youtube.com/channel/UCA5js_r40uQ-K-JnlhsnPCA']",Uni-K,,,,KAACHI,https://kpop.fandom.com/wiki/KAACHI,group,female,"{'subscribers': 319000, 'top_videos': []}",319000.0,[],"['https://www.facebook.com/kaachiofficial', 'https://www.instagram.com/Kaachi_official/', 'https://www.tiktok.com/@kaachi_official', 'https://twitter.com/kaachiofficial', 'https://www.youtube.com/channel/UCA5js_r40uQ-K-JnlhsnPCA']",https://www.youtube.com/channel/UCA5js_r40uQ-K-JnlhsnPCA
KAMBI,https://static.wikia.nocookie.net/kpop/images/3/3f/KAMBI_Cream_Soda_group_photo.png/revision/latest/scale-to-width-down/350?cb=20241009112737,캠비,,,South Korea,"R&B, soul","November 26, 2023",,2023-present,LiLAC LABEL,,"['Hana', 'Ari', 'Luna', 'Leah']",['Yebin'],[],['https://www.instagram.com/kambi.world/'],,,,,KAMBI,https://kpop.fandom.com/wiki/KAMBI,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/kambi.world/'],
Kamisama,https://static.wikia.nocookie.net/kpop/images/f/ff/Kamisama_debut_profile_photo_1.png/revision/latest/scale-to-width-down/333?cb=20211026191850,카미사마,Kamisama ( RR ),,South Korea,"J-pop, J-rock","November 22, 2021 (live)",,2021–2022,à la mode,,"['Tsuki', 'Tia', 'Ai']",[],[],['https://twitter.com/Kamisama_Ofcl'],,,,Kamisama desuka? (神さまですか),Kamisama,https://kpop.fandom.com/wiki/Kamisama,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://twitter.com/Kamisama_Ofcl'],
Kandis,https://static.wikia.nocookie.net/kpop/images/5/5b/Kandis_Alice_group_concept_photo_4.png/revision/latest/scale-to-width-down/350?cb=20241116143927,캔디스,Kaendiseu ( RR ) K'aendisŭ ( M-R ),,South Korea,,"August 27, 2023",,2022–present,SXTYDGRS,,"['Hello', 'Venny', 'Nine', 'Looky']",[],[],"['https://www.facebook.com/Kandis-%EC%BA%94%EB%94%94%EC%8A%A4-102208192347009', 'https://www.instagram.com/official_kandis/', 'https://soundcloud.com/kandisyndrome', 'https://www.tiktok.com/@kandiseason', 'https://twitter.com/kandis_official', 'https://www.youtube.com/channel/UCOnqUzQeSyCLwk1Z2Bk3-uA']",Gummis (구미스),,,Girls Like This,Kandis,https://kpop.fandom.com/wiki/Kandis,group,female,"{'subscribers': 12000, 'top_videos': []}",12000.0,[],"['https://www.facebook.com/Kandis-%EC%BA%94%EB%94%94%EC%8A%A4-102208192347009', 'https://www.instagram.com/official_kandis/', 'https://soundcloud.com/kandisyndrome', 'https://www.tiktok.com/@kandiseason', 'https://twitter.com/kandis_official', 'https://www.youtube.com/channel/UCOnqUzQeSyCLwk1Z2Bk3-uA']",https://www.youtube.com/channel/UCOnqUzQeSyCLwk1Z2Bk3-uA
KARA,https://static.wikia.nocookie.net/kpop/images/4/4e/KARA_I_Do_I_Do_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240628122815,카라,,カラ,"Seoul, South Korea","Pop, synth-pop, R&B, disco, electropop","March 29, 2007","January 15, 2016 (initial)","2007–2016, 2022–present","RBW (2022–present) DSP Media (2007–2016, 2022-present) Universal Sigma (Japan)",,"['Seungyeon', 'Nicole', 'Jiyoung', 'Youngji']","['Hara', 'Sunghee']","['https://karaofficial.kr/', 'http://www.karaweb.jp/']","['http://cafe.daum.net/Dejuanholic', 'https://www.facebook.com/dspofficialkara', 'https://www.tiktok.com/@karaofficial329', 'https://twitter.com/KARAOFFICIAL329', 'https://www.youtube.com/@KARAOfficial329', 'https://twitter.com/KAMILIA_JAPAN_']",KAMILIA (카밀리아),Peach Pearl,KARA Wiki,,KARA,https://kpop.fandom.com/wiki/KARA,group,female,"{'subscribers': 14, 'top_videos': []}",14.0,[],"['http://cafe.daum.net/Dejuanholic', 'https://www.facebook.com/dspofficialkara', 'https://www.tiktok.com/@karaofficial329', 'https://twitter.com/KARAOFFICIAL329', 'https://www.youtube.com/@KARAOfficial329', 'https://twitter.com/KAMILIA_JAPAN_']",https://www.youtube.com/@KARAOfficial329
Kassia,https://static.wikia.nocookie.net/kpop/images/2/2d/Kassia_Special_Girl_promotional.webp/revision/latest/scale-to-width-down/350?cb=20240226161736,,,,South Korea,Dance Pop,"June 15, 2011",2011,2011,I-Star Entertainment,,[],"['Seula', 'Haena', 'Eumyul', 'Songhwi']",[],[],,,,,Kassia,https://kpop.fandom.com/wiki/Kassia,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
KATSEYE,https://static.wikia.nocookie.net/kpop/images/7/75/KATSEYE_SIS_%28Soft_Is_Strong%29_group_concept_photo_4.png/revision/latest/scale-to-width-down/350?cb=20240809121428,캣츠아이,,キャッツアイ,United States South Korea,,"June 28, 2024",,2024–present,HYBE Geffen Records,The Debut: Dream Academy,"['Manon', 'Sophia', 'Daniela', 'Lara', 'Megan', 'Yoonchae']",[],['https://www.katseye.world/'],"['https://www.instagram.com/katseyeworld/', 'https://www.tiktok.com/@katseyeworld', 'https://twitter.com/katseyeworld', 'https://www.weverse.io/katseye/artistpedia', 'https://www.youtube.com/@katseyeworld']",EYEKONS [1],,KATSEYE Wiki,,KATSEYE,https://kpop.fandom.com/wiki/KATSEYE,group,female,"{'subscribers': 1280000, 'top_videos': []}",1280000.0,[],"['https://www.instagram.com/katseyeworld/', 'https://www.tiktok.com/@katseyeworld', 'https://twitter.com/katseyeworld', 'https://www.weverse.io/katseye/artistpedia', 'https://www.youtube.com/@katseyeworld']",https://www.youtube.com/@katseyeworld
Kawanari,https://static.wikia.nocookie.net/kpop/images/5/5d/Kawanari_early_2024_group_photo.png/revision/latest/scale-to-width-down/350?cb=20240602205035,카와나리,Kawaku naritai! ( Rōmaji ),,South Korea,,"March 19, 2023 (Live) May 30, 2024 (Music)",,2023–present,IMU Production (2023) Independent (2023–present),,"['Moka', 'Nako', 'Myai']","['Chiyo', 'Erina']",[],['https://twitter.com/KAWANARI_OFCL'],,,,KWNR,Kawanari,https://kpop.fandom.com/wiki/Kawanari,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://twitter.com/KAWANARI_OFCL'],
K/DA,https://static.wikia.nocookie.net/kpop/images/0/0d/KDA_All_Out_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20201228074320,,,,,Pop,"November 3, 2018",,2018–2020,Riot Games,(G)I-DLE TWICE,"['Ahri(Miyeon,Nayeon,Sana,Jihyo,Chaeyoung,Bekuh BOOM, Annika Wells)', 'Akali(Soyeon)', 'Evelynn(Madison Beer,Bea Miller,Kim Petras)', ""Kai'Sa(Jaira Burns, Wolftyla,Bekuh BOOM,Aluna)""]",[],['https://universe.leagueoflegends.com/en_US/kda'],"['https://www.instagram.com/kda_music/', 'https://twitter.com/KDA_MUSIC']",BLADES (블레이즈),,,,KDA,https://kpop.fandom.com/wiki/KDA,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/kda_music/', 'https://twitter.com/KDA_MUSIC']",
